"id";"temperature";"pressure";"depth";"depthw";"surface";"conductivitya";"conductivitys";"resistivity";"salinity";"solidsd";"waterd";"pressureb";"ph";"phmv";"orp";"concetrationo";"saturationo";"pressureo";"voltage";"battery";"time"
33;16.465587615966797;1.139908790588379;2.951460599899292;-2.6293821334838867;2.6293821334838867;388.1502685546875;463.743896484375;2576.32177734375;0.22499407827854156;0.3014335334300995;0.9990418553352356;649.9498291015625;8.834611892700195;-101.87864685058594;157.65638732910156;8.426387786865234;101.2630386352539;134.89337158203125;0.14399999380111694;95.0;"2021-04-16 17:00:05"
34;16.284339904785156;0.9427928924560547;2.699506998062134;-2.1747026443481445;2.1747026443481445;387.1139221191406;464.4266052246094;2583.218994140625;0.2253035306930542;0.30187729001045227;0.9990724325180054;649.9423828125;8.803735733032227;-100.11434936523438;160.2003173828125;8.430243492126465;100.9206314086914;134.46981811523438;0.14399999380111694;95.0;"2021-04-16 17:00:11"
35;16.18606185913086;0.628697395324707;1.8816744089126587;-1.4501911401748657;1.4501911401748657;386.6502380371094;464.9173278808594;2586.31689453125;0.22553090751171112;0.3021962642669678;0.9990888833999634;649.8223876953125;8.82011604309082;-100.98219299316406;159.6591033935547;8.463080406188965;101.12068939208984;134.72938537597656;0.13500000536441803;95.0;"2021-04-16 17:00:18"
36;16.09122657775879;0.9792299270629883;2.778860569000244;-2.2587504386901855;2.2587504386901855;385.66015625;464.739013671875;2592.95654296875;0.22542491555213928;0.302080363035202;0.9991044402122498;649.9423828125;8.820067405700684;-100.94642639160156;159.7425537109375;8.456080436706543;100.81352233886719;134.36305236816406;0.13500000536441803;95.0;"2021-04-16 17:00:24"
37;16.04081916809082;1.4754257202148438;4.0187225341796875;-3.4033055305480957;3.4033055305480957;385.3499755859375;464.90460205078125;2595.043701171875;0.2254982590675354;0.3021880090236664;0.9991127252578735;649.9873046875;8.834554672241211;-101.72605895996094;159.3014678955078;8.482992172241211;101.0182113647461;134.6547088623047;0.13500000536441803;95.0;"2021-04-16 17:00:30"
38;15.997038841247559;1.550567626953125;4.202854156494141;-3.576632261276245;3.576632261276245;384.74591064453125;464.64459228515625;2599.117919921875;0.22536049783229828;0.30201900005340576;0.999119758605957;650.0248413085938;8.819798469543457;-100.89874267578125;160.04295349121094;8.497408866882324;101.0891342163086;134.7652587890625;0.13500000536441803;95.0;"2021-04-16 17:00:37"
39;16.051189422607422;1.4990234375;4.085831642150879;-3.457737445831299;3.457737445831299;384.7732238769531;464.097900390625;2598.933349609375;0.22509784996509552;0.3016636371612549;0.9991106986999512;650.0023803710938;8.83635139465332;-101.82857513427734;159.2156524658203;8.488648414611816;101.10536193847656;134.77212524414062;0.12600000202655792;95.0;"2021-04-16 17:00:43"
40;16.0604190826416;1.5194787979125977;4.133026599884033;-3.5049209594726562;3.5049209594726562;384.9651794433594;464.230712890625;2597.637451171875;0.22516576945781708;0.30174994468688965;0.9991092681884766;650.0173950195312;8.842964172363281;-102.19573974609375;158.86993408203125;8.481640815734863;101.0395736694336;134.68592834472656;0.12600000202655792;95.0;"2021-04-16 17:00:50"
41;16.05474090576172;1.5374784469604492;4.174286365509033;-3.5464401245117188;3.5464401245117188;384.9158020019531;464.23187255859375;2597.970703125;0.22516533732414246;0.30175071954727173;0.9991101622581482;650.0023803710938;8.840574264526367;-102.06222534179688;159.0129852294922;8.479199409484863;101.0006103515625;134.6318817138672;0.12600000202655792;95.0;"2021-04-16 17:00:56"
42;16.04644012451172;1.5357694625854492;4.171331405639648;-3.5424981117248535;3.5424981117248535;384.82476806640625;464.2108459472656;2598.58544921875;0.22515331208705902;0.3017370402812958;0.9991115927696228;650.0323486328125;8.843486785888672;-102.2195816040039;158.94622802734375;8.486480712890625;101.06454467773438;134.72494506835938;0.12600000202655792;95.0;"2021-04-16 17:01:02"
43;16.046735763549805;1.4969167709350586;4.080908298492432;-3.45287823677063;3.45287823677063;385.0174560546875;464.44012451171875;2597.284912109375;0.22526772320270538;0.30188608169555664;0.9991115927696228;650.0173950195312;8.824639320373535;-101.18246459960938;160.07156372070312;8.482686996459961;101.02253723144531;134.6657257080078;0.11699999868869781;95.0;"2021-04-16 17:01:09"
44;15.95796012878418;1.0101184844970703;2.8707337379455566;-2.3299999237060547;2.3299999237060547;384.7022399902344;465.0110168457031;2599.4130859375;0.22553597390651703;0.30225715041160583;0.9991261959075928;649.9798583984375;8.799763679504395;-99.78294372558594;161.49969482421875;8.495061874389648;100.98375701904297;134.62252807617188;0.1080000028014183;95.0;"2021-04-16 17:01:15"
45;15.927717208862305;0.6004266738891602;1.8079911470413208;-1.3849802017211914;1.3849802017211914;384.5905456542969;465.2008361816406;2600.16796875;0.2256249040365219;0.3023805320262909;0.9991312026977539;649.9498291015625;8.815816879272461;-100.65555572509766;160.76060485839844;8.485512733459473;100.8097915649414;134.38978576660156;0.0989999994635582;95.0;"2021-04-16 17:01:21"
46;15.873442649841309;0.5467309951782227;1.6834520101547241;-1.2611225843429565;1.2611225843429565;383.9766540527344;465.0413818359375;2604.324951171875;0.22553515434265137;0.3022769093513489;0.9991399645805359;650.0248413085938;8.83016300201416;-101.42564392089844;159.77830505371094;8.487068176269531;100.69896697998047;134.26779174804688;0.1080000028014183;95.0;"2021-04-16 17:01:28"
